,level,level_weeks,reg_weeks,kick_in,mae
127,2.25,11,263,1.0,10.629619023561924
128,2.5,10,120,1.0,10.62962030781458
129,2.25,12,281,1.0,10.629621523867506
130,2.25,15,270,1.0,10.62962158442893
131,2.5,10,272,0.75,10.629621608243395
132,2.5,12,281,0.75,10.629625217307034
133,2.25,12,264,1.0,10.629630218735649
134,2.25,11,266,1.0,10.62963098889631
135,2.5,13,283,0.75,10.629632820329082
136,2.25,15,277,1.0,10.629635512746155
137,2.25,10,298,0.75,10.629637742894325
138,2.25,10,288,0.75,10.629639372891384
139,2.25,11,283,0.75,10.629640563041283
140,2.25,18,274,1.0,10.629641038217814
141,2.25,12,284,0.75,10.629641091212012
142,2.25,19,272,1.0,10.629642322357029
143,2.25,14,269,1.0,10.62964306128364
144,2.25,19,273,1.0,10.629643299058497
145,2.25,16,276,1.0,10.629644371771136
146,2.25,12,267,1.0,10.629646840105451
147,2.5,11,279,0.75,10.62964798807061
148,2.25,13,285,0.75,10.629648945251253
149,2.25,15,279,1.0,10.629649188448091
150,2.25,12,265,1.0,10.629651057616917
151,2.25,11,262,1.0,10.629652407368638
152,2.5,10,278,0.75,10.629652492099432
153,2.25,13,268,1.0,10.629653755227585
154,2.25,11,299,0.75,10.629654116991286
155,2.5,12,280,0.75,10.629654241298953
156,2.5,10,274,0.75,10.629656682096536
157,2.25,13,286,0.75,10.629657277761726
158,2.25,17,275,1.0,10.629657657574237
159,2.5,13,286,0.75,10.629657904938782
160,2.5,14,284,0.75,10.629658447850518
161,2.25,12,287,0.75,10.629661346457477
162,2.25,11,282,1.0,10.629663407132927
163,2.25,18,271,1.0,10.6296644621761
164,2.25,15,278,1.0,10.629665162414511
165,2.5,11,287,0.75,10.629665439277227
166,2.5,13,282,0.75,10.629666351951183
167,2.25,16,270,1.0,10.629667468473356
168,2.5,10,121,1.0,10.62966862304996
169,2.5,11,273,0.75,10.629668851289512
170,2.25,12,263,1.0,10.629669005069672
171,2.25,15,280,1.0,10.629669192514044
172,2.25,12,266,1.0,10.629670694808109
173,2.5,14,285,0.75,10.629672303116344
174,2.5,11,272,0.75,10.629672661414522
175,2.25,10,283,1.0,10.629673309421785
176,2.5,10,271,0.75,10.629673886530506
177,2.25,11,298,0.75,10.629675900625994
178,2.5,13,281,0.75,10.629675904721266
179,2.5,10,122,1.0,10.629676172139916
180,2.5,10,277,0.75,10.62967761640958
181,2.5,10,288,0.75,10.629679087657957
182,2.25,12,283,0.75,10.629679969540051
183,2.25,13,264,1.0,10.629680723310988
184,2.25,16,277,1.0,10.629684345164764
185,2.25,13,284,0.75,10.629685342627704
186,2.25,11,288,0.75,10.62968539869093
187,2.25,13,281,1.0,10.629685685491856
188,2.25,19,274,1.0,10.629686381813624
189,2.25,13,267,1.0,10.629687553614302
190,2.25,15,269,1.0,10.629688160639867
191,2.5,14,283,0.75,10.629688390734152
192,2.25,20,272,1.0,10.62968963499972
193,2.25,20,273,1.0,10.629690225683325
194,2.25,17,276,1.0,10.629690882752096
195,2.5,10,275,0.75,10.629691169128971
196,2.5,11,278,0.75,10.629692037323888
197,2.5,12,279,0.75,10.629692683516096
198,2.25,12,299,0.75,10.62969448319094
199,2.25,14,285,0.75,10.62969522235116
200,2.25,10,289,0.75,10.629696144563006
201,2.5,10,123,1.0,10.629696170043742
202,2.25,14,268,1.0,10.629697106472213
203,2.25,13,265,1.0,10.629697825156436
204,2.25,10,261,1.0,10.629699883102315
205,2.5,10,276,0.75,10.629701056093964
206,2.5,13,280,0.75,10.629701784604704
207,2.25,12,262,1.0,10.62970210273133
208,2.25,10,297,0.75,10.62970251414384
209,2.25,18,275,1.0,10.62970254308672
210,2.5,11,120,1.0,10.62970301723982
211,2.25,16,279,1.0,10.62970328367227
212,2.5,11,274,0.75,10.629704129345193
213,2.25,14,286,0.75,10.629704136268735
214,2.25,13,287,0.75,10.629707872288932
215,2.25,19,271,1.0,10.629710792031634
216,2.25,17,270,1.0,10.629712800508974
217,2.25,13,266,1.0,10.629713196544412
218,2.25,16,278,1.0,10.629714379674882
219,2.25,12,298,0.75,10.629714550280516
220,2.5,15,284,0.75,10.629715513389463
221,2.5,11,277,0.75,10.629716962834026
222,2.5,14,282,0.75,10.62971850794434
223,2.25,13,263,1.0,10.629718847124362
224,2.5,14,286,0.75,10.629719117866935
225,2.25,13,283,0.75,10.62971977686646
226,2.5,11,271,0.75,10.629720774204202
227,2.5,12,273,0.75,10.62972258149115
228,2.5,10,201,1.0,10.629722680738851
229,2.5,12,287,0.75,10.629726010389616
230,2.5,14,281,0.75,10.629726145733988
231,2.5,12,272,0.75,10.62972700660032
232,2.25,14,284,0.75,10.629728736702988
233,2.25,12,288,0.75,10.62972974566854
234,2.5,15,285,0.75,10.62972999919498
235,2.25,14,264,1.0,10.629730342526448
236,2.25,20,274,1.0,10.629730654098964
237,2.25,12,282,1.0,10.629731342878456
238,2.25,16,280,1.0,10.62973193142423
239,2.25,17,277,1.0,10.62973235443108
240,2.25,14,267,1.0,10.62973242965744
241,2.25,16,269,1.0,10.629732893541938
242,2.5,12,278,0.75,10.629733342936914
243,2.5,11,275,0.75,10.629733903871086
244,2.25,11,297,0.75,10.629735247907783
245,2.25,13,299,0.75,10.62973547401635
246,2.25,21,272,1.0,10.629735841624194
247,2.25,21,273,1.0,10.629736091353935
248,2.5,10,270,0.75,10.629736281420064
249,2.25,18,276,1.0,10.629736481103366
250,2.5,13,279,0.75,10.629738050739656
251,2.25,11,289,0.75,10.629738376971712
252,2.5,11,288,0.75,10.629738416912936
253,2.25,10,282,0.75,10.629738821147832
254,2.25,15,285,0.75,10.62973998669312
255,2.5,11,276,0.75,10.629740856544275
256,2.25,15,268,1.0,10.629741941173789
257,2.5,15,283,0.75,10.629742382800105
258,2.25,14,265,1.0,10.629744552495278
259,2.25,14,281,1.0,10.629745899568585
260,2.25,19,275,1.0,10.629746524044467
261,2.25,11,261,1.0,10.62974683000288
262,2.5,10,202,1.0,10.62974855171262
263,2.25,15,286,0.75,10.629749224535413
264,2.5,14,280,0.75,10.629749308531755
265,2.25,11,283,1.0,10.629751167056623
266,2.25,13,262,1.0,10.629751872027684
267,2.25,14,287,0.75,10.629752606857826
268,2.5,12,274,0.75,10.629753757111796
269,2.25,13,298,0.75,10.629753841954647
270,2.5,11,121,1.0,10.62975424623239
271,2.5,10,119,1.0,10.629754986877476
272,2.25,20,271,1.0,10.629756171925498
273,2.25,18,270,1.0,10.62975747239411
274,2.25,14,266,1.0,10.629757664437069
275,2.5,12,277,0.75,10.62975779418944
276,2.25,14,283,0.75,10.629759486443094
277,2.25,17,279,1.0,10.629759510983895
278,2.5,10,205,1.0,10.62976052666351
279,2.25,17,278,1.0,10.629764941707638
280,2.25,11,282,0.75,10.629766467916946
281,2.25,14,263,1.0,10.629767956414948
282,2.25,12,297,0.75,10.629769286408886
283,2.5,15,282,0.75,10.629769598626735
284,2.5,12,271,0.75,10.62977017576313
285,2.5,16,284,0.75,10.629770792822963
286,2.5,10,269,0.75,10.629770816667651
287,2.25,15,284,0.75,10.629771094645454
288,2.25,10,296,0.75,10.629771892324602
289,2.25,13,288,0.75,10.629772504899726
290,2.25,21,274,1.0,10.6297738548012
291,2.25,10,284,1.0,10.62977492483778
292,2.5,15,281,0.75,10.629775624279596
293,2.5,13,278,0.75,10.629775679924974
294,2.25,15,267,1.0,10.629777075696593
295,2.25,17,269,1.0,10.629777109444204
296,2.25,10,290,0.75,10.629777125456256
297,2.5,12,275,0.75,10.62977721481486
298,2.5,15,286,0.75,10.629777454994132
299,2.5,13,273,0.75,10.629777831598432
300,2.5,11,122,1.0,10.629778348373126
301,2.25,15,264,1.0,10.629778991196714
302,2.25,12,289,0.75,10.629779192919209
303,2.25,18,277,1.0,10.629779247001446
304,2.25,14,299,0.75,10.6297806357441
305,2.25,22,273,1.0,10.629780909243562
306,2.25,22,272,1.0,10.629780961836
307,2.25,19,276,1.0,10.629781082693896
308,2.5,11,270,0.75,10.629781159750788
309,2.5,12,276,0.75,10.629781787380823
310,2.5,12,120,1.0,10.629783154290308
311,2.25,16,285,0.75,10.629783238201515
312,2.5,13,272,0.75,10.629783494676197
313,2.5,14,279,0.75,10.629783562696266
314,2.5,13,287,0.75,10.62978376015307
315,2.5,10,192,1.0,10.629784316316496
316,2.5,10,203,1.0,10.629785518593536
317,2.25,16,268,1.0,10.629786472827792
318,2.5,16,285,0.75,10.62978658716128
319,2.25,20,275,1.0,10.629789552397648
320,2.25,15,265,1.0,10.629790755384548
321,2.5,10,206,1.0,10.62979137570578
322,2.5,10,289,0.75,10.629792398344616
323,2.5,10,204,1.0,10.629793531768026
324,2.25,17,280,1.0,10.629793693692555
325,2.25,12,261,1.0,10.629794242561816
326,2.25,16,286,0.75,10.629794329183667
327,2.25,13,282,1.0,10.629794860215435
328,2.5,12,288,0.75,10.629794937373028
329,2.5,16,283,0.75,10.62979498950363
330,2.25,15,287,0.75,10.629795636477322
331,2.5,15,280,0.75,10.62979643469838
332,2.5,10,193,1.0,10.629796498999257
333,2.25,12,282,0.75,10.62979673969669
334,2.25,14,298,0.75,10.629797488877276
335,2.25,15,283,0.75,10.629798764720592
336,2.25,11,296,0.75,10.62979945223588
337,2.5,13,277,0.75,10.629799500403324
338,2.5,10,268,0.75,10.629799611439424
339,2.25,21,271,1.0,10.629800591658949
340,2.25,14,262,1.0,10.629801378641211
341,2.25,19,270,1.0,10.62980140898307
342,2.25,15,266,1.0,10.629801853326562
343,2.5,10,267,0.75,10.629802744467234
344,2.5,13,274,0.75,10.62980417460782
345,2.25,13,297,0.75,10.629804380648396
346,2.5,11,119,1.0,10.629805441547456
347,2.25,15,281,1.0,10.62980882825026
348,2.5,10,299,0.75,10.629810184024292
349,2.25,16,284,0.75,10.629812319978722
350,2.25,11,290,0.75,10.629812931025745
351,2.5,11,123,1.0,10.629813596546407
352,2.25,14,288,0.75,10.629813753952824
353,2.25,18,278,1.0,10.629814028283215
354,2.25,18,279,1.0,10.629814470635722
355,2.5,11,269,0.75,10.629815607270077
356,2.25,15,263,1.0,10.629816189972807
357,2.25,22,274,1.0,10.629817348649723
358,2.5,14,278,0.75,10.629818487139408
359,2.25,13,289,0.75,10.629818701439468
360,2.5,16,282,0.75,10.62981948279922
361,2.25,18,269,1.0,10.62982069965502
362,2.25,16,267,1.0,10.629821302043412
363,2.25,12,283,1.0,10.629823045442471
364,2.5,13,276,0.75,10.629823934649616
365,2.5,10,298,0.75,10.62982400496095
366,2.5,16,281,0.75,10.62982414896031
367,2.5,13,271,0.75,10.629824448663694
368,2.5,13,275,0.75,10.629824456118016
369,2.25,20,276,1.0,10.629824640888168
370,2.25,19,277,1.0,10.62982495181732
