,season,week,hfa_base,forward_observed_hfa,trailing_observed_hfa
5437,2019,9,2.092217170944062,-0.013208071142435074,0.7742789268493653
5451,2019,10,2.0603096458513805,0.16197327449917792,0.7696635246276855
5464,2019,11,2.0480470387435625,0.31698700562119486,0.7495865851640702
5478,2019,12,2.0249835157151796,0.29709415808320044,0.8929025068879127
5492,2019,13,1.9997209072118454,0.4450316570699215,0.9181301757693291
5508,2019,14,1.9751335389583602,1.0480628870427608,0.5450532361865044
5524,2019,15,1.948811657126832,1.1391566418111325,0.41431365460157393
5540,2019,16,1.9203091610890346,1.2176566489040852,0.13009492605924605
5556,2019,17,1.8897273582397907,1.5508441530168056,-0.04118632376194
5572,2019,18,1.8897273582397907,,
5576,2019,19,1.8897273582397907,,
5580,2019,20,1.8897273582397907,,
5582,2019,21,1.8897273582397907,,
5583,2020,1,0.25,,
5599,2020,2,0.25,,
5615,2020,3,0.25,,
5631,2020,4,0.25,,
5646,2020,5,0.25,,
5660,2020,6,0.25,,
5674,2020,7,0.25,,
5688,2020,8,0.25,,
5702,2020,9,0.25,,
5716,2020,10,0.25,,
5730,2020,11,0.25,,
5744,2020,12,0.25,,
5760,2020,13,0.25,,
5775,2020,14,0.25,,
5791,2020,15,0.25,,
5807,2020,16,0.25,,
5823,2020,17,0.25,,
5839,2020,18,0.25,,
5845,2020,19,0.25,,
5849,2020,20,0.25,,
5851,2020,21,0.25,,
5852,2021,1,1.8591504545778967,1.5050566457211971,-0.3445863097906113
5868,2021,2,1.8289514993401683,1.6673337303102016,-0.3892113000154495
5884,2021,3,1.7983822583404236,1.616319163888693,-0.08808631002902985
5900,2021,4,1.7707514908943933,1.7276182673871516,0.041788706183433534
5916,2021,5,1.7459340631179932,1.7910682529211044,0.3006199561059475
5932,2021,6,1.7237316211937088,2.208730325102806,0.20085073933005332
5946,2021,7,1.7076871132372062,1.9677303045988084,0.6933635734021664
5959,2021,8,1.6876707014099477,2.152430298924446,0.5481635831296444
5974,2021,9,1.676257665515045,2.1729303032159804,0.2668751321732998
5988,2021,10,1.6636832071237226,2.2076356440782545,0.645910831540823
6002,2021,11,1.6412400712366455,2.756969001889229,0.2142227254807949
6017,2021,12,1.6232197024372756,2.545476707816124,-0.013208071142435074
6032,2021,13,1.5916682512143696,2.5928963527083395,0.16197327449917792
6046,2021,14,1.5678318166097307,2.504449926316738,0.31698700562119486
6060,2021,15,1.5409238179458034,2.5666499242186545,0.29709415808320044
6076,2021,16,1.5171444633245321,2.644274912774563,0.4450316570699215
6092,2021,17,1.5028704661967458,1.9064624175429343,1.0480628870427608
6108,2021,18,1.495904365848637,1.8013686642050744,1.1391566418111325
6124,2021,19,1.495904365848637,,
6130,2021,20,1.495904365848637,,
6134,2021,21,1.495904365848637,,
6136,2021,22,1.495904365848637,,
6137,2022,1,1.5065522870179104,2.008181154727936,1.2176566489040852
6153,2022,2,1.5201274615642584,1.8299644947052003,1.5508441530168056
6169,2022,3,1.5294367079522957,1.957536594569683,1.5050566457211971
6185,2022,4,1.5436170854393576,2.0277103945612907,1.6673337303102016
6201,2022,5,1.5511655390086672,2.3565975829958914,1.616319163888693
6217,2022,6,1.5591977252009588,2.377735970914364,1.7276182673871516
6231,2022,7,1.566175586832054,2.6111013695597647,1.7910682529211044
6245,2022,8,1.5677999151917614,2.3550931230187415,2.208730325102806
6260,2022,9,1.56479120903031,2.3362469926476477,1.9677303045988084
6273,2022,10,1.5722221305564164,2.231340742856264,2.152430298924446
6287,2022,11,1.5844517604687487,2.263667667657137,2.1729303032159804
